"source","feed","url","verified_at","latest_item_at","census_division","state_abbr","county","fips","rucc_2023","metro_status"
"Alaska Native News","Alaska Native News","https://alaska-native-news.com/feed/","2026-08-26T04:20:10.706474Z","2026-08-25T14:05:35Z","Pacific","AK","Kenai Peninsula Borough","02122","7","Nonmetro"
"Chilkat Valley News","Chilkat Valley News","https://www.chilkatvalleynews.com/feed/","2026-08-26T14:53:08.998106Z","2026-08-25T19:45:48Z","Pacific","AK","Haines Borough","02100","9","Nonmetro"
"Cordova Times","The Cordova Times","https://thecordovatimes.com/feed/","2026-08-26T04:20:27.677746Z","2026-08-25T21:05:46Z","Pacific","AK","Chugach Census Area","02063","9","Nonmetro"
"Delta Discovery","The Delta Discovery, Inc.","https://deltadiscovery.com/feed/","2026-08-26T14:53:09.025738Z","2026-08-01T00:43:55Z","Pacific","AK","Bethel Census Area","02050","7","Nonmetro"
"Frontiersman","Mat-Su Valley Frontiersman","https://www.frontiersman.com/latest/rss/","2026-08-26T14:53:09.040908Z",,"Pacific","AK","Matanuska-Susitna Borough","02170","2","Metro"
"Homer News","Homer News","https://www.homernews.com/feed/","2026-08-26T15:07:08.214013Z","2026-08-26T11:30:00Z","Pacific","AK","Kenai Peninsula Borough","02122","7","Nonmetro"
"Juneau Empire","Juneau Empire","https://www.juneauempire.com/feed/","2026-08-26T15:07:08.185467Z","2026-08-26T11:30:00Z","Pacific","AK","Juneau City and Borough","02110","5","Nonmetro"
"Nome Nugget","The Nome Nugget","https://www.nomenugget.net/rss.xml","2026-08-26T04:20:29.207208Z","2026-08-21T17:06:47Z","Pacific","AK","Nome Census Area","02180","9","Nonmetro"
"Peninsula Clarion","Peninsula Clarion","https://www.peninsulaclarion.com/feed/","2026-08-26T15:07:08.736665Z","2026-08-26T11:30:00Z","Pacific","AK","Kenai Peninsula Borough","02122","7","Nonmetro"
"Petersburg Pilot","Petersburg Pilot - RSS Feed","https://www.petersburgpilot.com/rss","2026-08-26T15:28:11.816055Z","2026-08-20T13:32:00Z","Pacific","AK","Petersburg Borough","02195","9","Nonmetro"
"Petroleum News","Petroleum News - RSS Feed","https://www.petroleumnews.com/rss","2026-08-26T15:28:10.659204Z","2026-08-20T10:58:00Z","Pacific","AK","Anchorage Municipality","02020","2","Metro"
"Seldovia Gazette","Seldovia.com","https://www.seldovia.com/feed/","2026-08-26T04:20:30.067302Z","2026-08-26T01:12:07Z","Pacific","AK","Kenai Peninsula Borough","02122","7","Nonmetro"
"Seward Phoenix Log","The Seward Phoenix Log","https://www.thesewardphoenixlog.com/feed/","2026-08-26T14:53:11.562742Z","2026-07-31T03:47:31Z","Pacific","AK","Kenai Peninsula Borough","02122","7","Nonmetro"
"Skagway News","The Skagway News","https://www.skagwaynews.com/feed.atom","2026-08-26T14:53:10.072526Z","2026-07-09T03:54:13Z","Pacific","AK","Skagway Municipality","02230","9","Nonmetro"
"Athens News Courier","Athens The News Courier","https://enewscourier.com/feed/","2026-08-26T15:07:20.003892Z","2026-08-26T12:30:53Z","East South Central","AL","Limestone County","01083","2","Metro"
"Birmingham Times","The Birmingham Times","http://www.birminghamtimes.com/feed/","2026-08-26T04:20:32.739756Z","2026-08-26T01:50:35Z","East South Central","AL","Jefferson County","01073","1","Metro"
"Call News","Call News","https://www.thecallnews.com/feed/","2026-08-26T04:20:33.894799Z","2026-08-25T14:32:25Z","East South Central","AL","Mobile County","01097","2","Metro"
"Clarke County Democrat","Clarke County Democrat","https://www.clarkecountydemocrat.com/feed/","2026-08-26T15:07:19.984557Z","2026-08-19T16:25:00Z","East South Central","AL","Clarke County","01025","9","Nonmetro"
"Crimson White","The Crimson White","https://thecrimsonwhite.com/feed/","2026-08-26T14:53:13.463626Z","2026-08-24T02:45:06Z","East South Central","AL","Tuscaloosa County","01125","2","Metro"
"Cullman Times","The Cullman Times","https://cullmantimes.com/feed/","2026-08-26T15:07:20.136028Z","2026-08-25T16:09:01Z","East South Central","AL","Cullman County","01043","4","Nonmetro"
"Daily Home","www.annistonstar.com - RSS Results in the_daily_home of type article","https://www.annistonstar.com/search/?f=rss&t=article&c=the_daily_home&l=50&s=start_time&sd=desc","2026-08-26T04:20:34.738109Z","2026-08-25T22:04:00Z","East South Central","AL","Talladega County","01121","4","Nonmetro"
